City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
309,acapulco,75,MX,1565140654,70,16.86,-99.88,84.2,5.82
310,waterloo,75,SL,1565140369,88,8.34,-13.07,77.0,9.17
311,bima,6,ID,1565140657,79,-8.45,118.73,72.14,3.06
312,kuching,75,MY,1565140658,83,1.56,110.34,77.0,3.36
313,clarksville,90,US,1565140499,93,36.53,-87.36,84.2,3.36
314,namibe,0,AO,1565140662,78,-15.19,12.15,64.64,4.81
315,porbandar,100,IN,1565140663,83,21.64,69.61,83.0,25.05
316,powell river,5,CA,1565140664,42,49.84,-124.52,84.2,5.82
317,aksarka,61,RU,1565140667,88,66.56,67.8,57.31,12.08
318,khandyga,0,RU,1565140668,33,62.65,135.58,70.11,8.75
319,vagur,100,FO,1565140671,90,61.47,-6.81,51.89,19.77
320,ixtapa,90,MX,1565140672,70,20.71,-105.21,86.0,3.36
321,karakol,0,KG,1565140674,50,42.49,78.39,62.84,5.32
322,bukachacha,97,RU,1565140676,44,52.99,116.91,61.43,9.28
323,inhambane,0,MZ,1565140677,89,-23.87,35.38,63.79,3.67
324,baruun-urt,100,MN,1565140678,81,46.68,113.28,52.58,13.87
325,portobelo,75,PA,1565140680,94,9.55,-79.65,79.0,5.82
326,mian channun,5,PK,1565140682,38,30.44,72.35,95.29,7.9
327,husavik,61,CA,1565140683,61,50.56,-96.99,72.0,12.35
328,massaranduba,75,BR,1565140684,94,-7.18,-35.73,68.0,5.82
329,roxana,75,CR,1565140686,100,10.27,-83.75,72.0,3.36
330,moerai,83,PF,1565140687,81,-22.43,-151.33,71.6,14.03
331,madimba,75,CM,1565140690,100,4.42,9.93,75.2,3.36
332,beringovskiy,0,RU,1565140691,54,63.05,179.32,69.14,4.59
333,eureka,90,US,1565140448,82,40.8,-124.16,66.99,9.17
334,la romana,40,DO,1565140542,94,18.43,-68.97,80.6,3.36
335,kavaratti,100,IN,1565140696,76,10.57,72.64,83.21,24.61
336,coihaique,75,CL,1565140697,69,-45.58,-72.07,39.2,5.82
337,matagami,79,NG,1565140698,97,9.67,8.4,67.34,0.65
338,atar,16,MR,1565140699,20,20.52,-13.05,95.22,13.96
339,cayenne,0,GF,1565140662,94,4.94,-52.33,75.2,5.03
340,kharod,90,IN,1565140704,88,21.55,73.0,80.6,10.29
341,kasempa,44,ZM,1565140706,37,-13.46,25.83,67.37,5.41
342,bandarbeyla,11,SO,1565140189,71,9.49,50.81,77.51,30.82
343,balkanabat,58,TM,1565140708,49,39.51,54.36,83.73,9.48
344,thatta,40,IN,1565140709,69,31.7,74.64,82.4,9.17
345,imbituba,75,BR,1565140589,88,-28.24,-48.67,66.2,9.17
346,bani walid,0,LY,1565140713,43,31.76,14.0,71.03,10.2
347,garachine,100,PA,1565140714,83,8.06,-78.36,79.13,15.19
348,rio rancho,75,US,1565140717,47,35.27,-106.63,75.2,17.22
349,santa isabel,75,MX,1565140719,29,32.63,-115.58,104.0,12.75
350,charters towers,56,AU,1565140721,67,-20.07,146.27,68.11,6.11
351,sri aman,75,MY,1565140722,88,1.24,111.46,75.2,2.24
352,rehoboth,0,NA,1565140723,14,-23.31,17.08,56.73,16.13
353,vangaindrano,0,MG,1565140726,80,-23.35,47.6,59.78,2.28
354,xining,83,CN,1565140727,55,36.62,101.77,56.41,0.65
355,puerto escondido,90,MX,1565140728,74,15.86,-97.07,84.2,5.82
356,olinda,75,AU,1565140729,57,-37.84,145.39,55.0,10.29
357,carmen,75,PH,1565140731,66,7.36,125.71,86.0,11.41
358,saint-georges,62,CA,1565140724,81,46.12,-70.67,71.01,1.01
359,manta,4,RO,1565140734,65,45.1,24.1,60.1,2.48
360,beyneu,0,KZ,1565140736,45,45.32,55.19,66.62,7.43
361,porgera,100,PG,1565140737,99,-5.46,143.15,52.27,4.25
362,alta floresta,69,BR,1565140738,40,-9.87,-56.08,82.8,3.27
363,priekule,56,LV,1565140739,93,56.45,21.6,64.4,8.05
364,balikpapan,100,ID,1565140742,88,-1.24,116.86,72.65,4.14
365,pitimbu,75,BR,1565140743,88,-7.47,-34.81,73.4,5.82
366,alice springs,0,AU,1565140744,23,-23.7,133.88,73.4,10.29
367,saint-joseph,20,FR,1565140746,88,43.56,6.97,75.2,3.36
368,soke,73,ML,1565140747,71,13.6,-5.94,79.27,4.09
369,lincoln,15,GB,1565140696,87,53.23,-0.54,60.01,13.87
370,krasnyy yar,0,RU,1565140750,91,50.7,44.73,50.74,8.25
371,saint-pierre,87,FR,1565140182,93,48.95,4.24,66.2,6.93
372,revda,100,RU,1565140752,99,67.94,34.55,41.51,1.99
373,iskateley,100,RU,1565140753,93,67.68,53.15,49.44,22.75
374,bereda,20,ES,1565140755,93,43.27,-7.54,66.2,3.36
375,terra santa,50,BR,1565140756,94,-2.1,-56.49,74.43,2.06
376,rotherham,46,GB,1565140757,87,53.43,-1.36,61.0,11.41
377,le port,100,FR,1565140758,45,42.87,1.37,73.0,1.01
378,yar-sale,81,RU,1565140175,82,66.83,70.83,56.88,13.35
379,la ronge,40,CA,1565140761,58,55.1,-105.3,59.0,17.22
380,saldanha,82,PT,1565140762,73,41.42,-6.55,66.51,3.31
381,saiha,88,IN,1565140763,82,22.49,92.98,78.78,5.64
382,nuuk,75,GL,1565140477,93,64.17,-51.74,42.8,12.75
